model,fold,mse,pcc,spr
RandomForest,0,0.5288279579617143,0.7512497423323143,0.7681263978067961
ExtraTrees,0,0.510637491422212,0.7580924379993784,0.7838802132864612
RandomForest,1,0.3335305799843114,0.8134096959819472,0.7607431975545823
ExtraTrees,1,0.3028549349457778,0.8379826187661852,0.7736151619753368
RandomForest,2,0.457776197006809,0.7441578256549113,0.7331794242839623
ExtraTrees,2,0.42656934989806816,0.7658496345582051,0.7565753487548452
RandomForest,3,0.5748734507660436,0.6381524002133789,0.6260840593189948
ExtraTrees,3,0.5463783355546281,0.6625661951614367,0.6631088292915025
RandomForest,4,0.4160346188017706,0.7138322625940847,0.6869472712158008
ExtraTrees,4,0.4283874395744051,0.6985850168188137,0.6906450284257091
